timestamp					cpu,memory,qps,disk_usage,memory_usage,iops,slow_queries,select_full_join,select_scan,threads_created,aborted_connects,aborted_clients,table_locks_waited,innodb_row_lock_waits,innodb_buffer_pool_read_requests,innodb_buffer_pool_reads,innodb_buffer_pool_write_requests,seconds_behind_master,connections,max_used_connections,qcache_hits,qcache_inserts,qcache_lowmem_prunes,created_tmp_tables,created_tmp_disk_tables,binlog_cache_disk_use,binlog_cache_use,label
2024-12-17 12:37:58.097219,10,1172,2.8888888888888884,8448271.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:00.098121,10,1172,2.888888888888889,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:02.094613,10,1172,2.8888888888888884,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:04.097617,10,1172,2.8888888888888884,8481039.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:06.097050,10,1172,2.8888888888888884,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:08.085958,10,1172,2.8888888888888884,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:10.098220,10,1172,2.8888888888888884,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:12.085278,11,1171,2.8888888888888884,8464655.00,8683520,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8222222222222221,0.1333333333333333,0,0,0
2024-12-17 12:38:14.085585,11,1171,3.3777777777777778,8481039.00,8683520,0.4222222222222222,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:16.084157,11,1171,3.3777777777777778,8464655.00,8683520,0.42222222222222217,0,0,1.1555555555555557,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:18.085665,11,1171,3.3777777777777773,8481039.00,8683520,0.4222222222222222,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
2024-12-17 12:38:20.098043,11,1171,3.3777777777777773,8464655.00,8683520,0.42222222222222217,0,0,1.1555555555555554,0,0,0,0,0,20.13333333333333,0,17.866666666666664,0,0.7333333333333333,0,0,0,0,11.111111111111109,0.8888888888888888,0,0,0
